policy,workload,cache_kb,assoc,lru_hit_rate,pol_hit_rate,hr_delta_pct,lru_cycles_M,pol_cycles_M,cycle_reduction_pct,lru_mpki,pol_mpki,mpki_reduction
fifo,loop,128,8,83.89,78.15,-5.74,846.13,864.86,-2.21,161.1,218.5,-57.4
random,loop,128,8,83.89,74.39,-9.5,846.13,873.44,-3.23,161.1,256.1,-95.0
adaptive_lf20_iv500k,loop,128,8,83.89,84.81,0.92,846.13,843.64,0.29,161.1,151.9,9.2
fifo,stream,128,8,36.25,38.8,2.55,3161.5,3208.13,-1.47,637.5,612.0,25.5
random,stream,128,8,36.25,36.13,-0.12,3161.5,3222.37,-1.93,637.5,638.7,-1.2
adaptive_lf20_iv500k,stream,128,8,36.25,38.74,2.49,3161.5,3154.65,0.22,637.5,612.6,24.9
fifo,mixed,128,8,62.25,67.78,5.53,1738.09,1752.32,-0.82,377.5,322.2,55.3
random,mixed,128,8,62.25,57.89,-4.36,1738.09,1737.54,0.03,377.5,421.1,-43.6
adaptive_lf20_iv500k,mixed,128,8,62.25,73.3,11.05,1738.09,1724.7,0.77,377.5,267.0,110.5
fifo,stride,128,8,47.99,52.33,4.34,2096.7,2079.2,0.83,520.1,476.7,43.4
random,stride,128,8,47.99,44.78,-3.21,2096.7,2087.41,0.44,520.1,552.2,-32.1
adaptive_lf20_iv500k,stride,128,8,47.99,57.72,9.73,2096.7,2097.94,-0.06,520.1,422.8,97.3
fifo,loop,128,16,88.08,81.29,-6.79,852.39,849.93,0.29,119.2,187.1,-67.9
random,loop,128,16,88.08,76.72,-11.36,852.39,851.36,0.12,119.2,232.8,-113.6
adaptive_lf20_iv500k,loop,128,16,88.08,88.07,-0.01,852.39,842.65,1.14,119.2,119.3,-0.1
fifo,stream,128,16,38.54,41.26,2.72,3241.48,3229.93,0.36,614.6,587.4,27.2
random,stream,128,16,38.54,37.98,-0.56,3241.48,3158.28,2.57,614.6,620.2,-5.6
adaptive_lf20_iv500k,stream,128,16,38.54,40.87,2.33,3241.48,3203.19,1.18,614.6,591.3,23.3
fifo,mixed,128,16,65.49,69.34,3.85,1747.46,1726.84,1.18,345.1,306.6,38.5
random,mixed,128,16,65.49,59.6,-5.89,1747.46,1748.3,-0.05,345.1,404.0,-58.9
adaptive_lf20_iv500k,mixed,128,16,65.49,74.13,8.64,1747.46,1728.03,1.11,345.1,258.7,86.4
fifo,stride,128,16,49.2,54.97,5.77,2095.79,2092.52,0.16,508.0,450.3,57.7
random,stride,128,16,49.2,47.42,-1.78,2095.79,2112.77,-0.81,508.0,525.8,-17.8
adaptive_lf20_iv500k,stride,128,16,49.2,60.66,11.46,2095.79,2075.25,0.98,508.0,393.4,114.6
fifo,loop,128,32,93.48,85.14,-8.34,859.04,859.78,-0.09,65.2,148.6,-83.4
random,loop,128,32,93.48,80.5,-12.98,859.04,863.15,-0.48,65.2,195.0,-129.8
adaptive_lf20_iv500k,loop,128,32,93.48,93.27,-0.21,859.04,851.82,0.84,65.2,67.3,-2.1
fifo,stream,128,32,43.9,45.13,1.23,3233.95,3243.33,-0.29,561.0,548.7,12.3
random,stream,128,32,43.9,42.46,-1.44,3233.95,3171.07,1.94,561.0,575.4,-14.4
adaptive_lf20_iv500k,stream,128,32,43.9,45.59,1.69,3233.95,3206.77,0.84,561.0,544.1,16.9
fifo,mixed,128,32,70.53,74.01,3.48,1726.61,1771.52,-2.6,294.7,259.9,34.8
random,mixed,128,32,70.53,65.87,-4.66,1726.61,1731.44,-0.28,294.7,341.3,-46.6
adaptive_lf20_iv500k,mixed,128,32,70.53,80.39,9.86,1726.61,1744.61,-1.04,294.7,196.1,98.6
fifo,stride,128,32,53.96,59.49,5.53,2103.36,2101.29,0.1,460.4,405.1,55.3
random,stride,128,32,53.96,52.24,-1.72,2103.36,2082.97,0.97,460.4,477.6,-17.2
adaptive_lf20_iv500k,stride,128,32,53.96,64.62,10.66,2103.36,2106.77,-0.16,460.4,353.8,106.6
fifo,loop,256,8,89.12,81.9,-7.22,859.7,850.74,1.04,108.8,181.0,-72.2
random,loop,256,8,89.12,75.94,-13.18,859.7,861.98,-0.27,108.8,240.6,-131.8
adaptive_lf20_iv500k,loop,256,8,89.12,89.82,0.7,859.7,847.92,1.37,108.8,101.8,7.0
fifo,stream,256,8,39.2,40.26,1.06,3241.75,3234.48,0.22,608.0,597.4,10.6
random,stream,256,8,39.2,39.46,0.26,3241.75,3177.79,1.97,608.0,605.4,2.6
adaptive_lf20_iv500k,stream,256,8,39.2,40.05,0.85,3241.75,3173.56,2.1,608.0,599.5,8.5
fifo,mixed,256,8,66.57,68.01,1.44,1774.0,1774.12,-0.01,334.3,319.9,14.4
random,mixed,256,8,66.57,59.12,-7.45,1774.0,1783.08,-0.51,334.3,408.8,-74.5
adaptive_lf20_iv500k,mixed,256,8,66.57,76.17,9.6,1774.0,1728.13,2.59,334.3,238.3,96.0
fifo,stride,256,8,52.16,55.49,3.33,2088.41,2117.79,-1.41,478.4,445.1,33.3
random,stride,256,8,52.16,49.02,-3.14,2088.41,2089.53,-0.05,478.4,509.8,-31.4
adaptive_lf20_iv500k,stride,256,8,52.16,62.14,9.98,2088.41,2096.77,-0.4,478.4,378.6,99.8
fifo,loop,256,16,90.61,85.11,-5.5,850.07,864.97,-1.75,93.9,148.9,-55.0
random,loop,256,16,90.61,78.42,-12.19,850.07,854.6,-0.53,93.9,215.8,-121.9
adaptive_lf20_iv500k,loop,256,16,90.61,89.9,-0.71,850.07,845.09,0.59,93.9,101.0,-7.1
fifo,stream,256,16,42.0,42.62,0.62,3152.12,3225.01,-2.31,580.0,573.8,6.2
random,stream,256,16,42.0,41.01,-0.99,3152.12,3193.19,-1.3,580.0,589.9,-9.9
adaptive_lf20_iv500k,stream,256,16,42.0,42.31,0.31,3152.12,3246.16,-2.98,580.0,576.9,3.1
fifo,mixed,256,16,69.4,70.69,1.29,1749.0,1735.73,0.76,306.0,293.1,12.9
random,mixed,256,16,69.4,62.36,-7.04,1749.0,1771.67,-1.3,306.0,376.4,-70.4
adaptive_lf20_iv500k,mixed,256,16,69.4,77.55,8.15,1749.0,1727.81,1.21,306.0,224.5,81.5
fifo,stride,256,16,54.44,58.82,4.38,2112.82,2113.0,-0.01,455.6,411.8,43.8
random,stride,256,16,54.44,50.92,-3.52,2112.82,2072.69,1.9,455.6,490.8,-35.2
adaptive_lf20_iv500k,stride,256,16,54.44,63.27,8.83,2112.82,2074.41,1.82,455.6,367.3,88.3
fifo,loop,256,32,94.83,89.07,-5.76,849.35,846.79,0.3,51.7,109.3,-57.6
random,loop,256,32,94.83,84.36,-10.47,849.35,855.18,-0.69,51.7,156.4,-104.7
adaptive_lf20_iv500k,loop,256,32,94.83,96.96,2.13,849.35,843.19,0.73,51.7,30.4,21.3
fifo,stream,256,32,47.23,46.42,-0.81,3170.92,3167.06,0.12,527.7,535.8,-8.1
random,stream,256,32,47.23,45.78,-1.45,3170.92,3217.22,-1.46,527.7,542.2,-14.5
adaptive_lf20_iv500k,stream,256,32,47.23,47.35,0.12,3170.92,3244.3,-2.31,527.7,526.5,1.2
fifo,mixed,256,32,73.98,76.62,2.64,1729.24,1765.76,-2.11,260.2,233.8,26.4
random,mixed,256,32,73.98,67.1,-6.88,1729.24,1737.32,-0.47,260.2,329.0,-68.8
adaptive_lf20_iv500k,mixed,256,32,73.98,84.0,10.02,1729.24,1719.14,0.58,260.2,160.0,100.2
fifo,stride,256,32,59.17,62.88,3.71,2099.42,2111.43,-0.57,408.3,371.2,37.1
random,stride,256,32,59.17,55.51,-3.66,2099.42,2126.17,-1.27,408.3,444.9,-36.6
adaptive_lf20_iv500k,stride,256,32,59.17,69.32,10.15,2099.42,2070.76,1.37,408.3,306.8,101.5
fifo,loop,512,8,92.51,85.15,-7.36,847.61,861.63,-1.65,74.9,148.5,-73.6
random,loop,512,8,92.51,80.25,-12.26,847.61,862.37,-1.74,74.9,197.5,-122.6
adaptive_lf20_iv500k,loop,512,8,92.51,91.5,-1.01,847.61,855.38,-0.92,74.9,85.0,-10.1
fifo,stream,512,8,41.9,42.68,0.78,3173.35,3221.52,-1.52,581.0,573.2,7.8
random,stream,512,8,41.9,42.4,0.5,3173.35,3202.55,-0.92,581.0,576.0,5.0
adaptive_lf20_iv500k,stream,512,8,41.9,43.1,1.2,3173.35,3204.75,-0.99,581.0,569.0,12.0
fifo,mixed,512,8,69.06,71.65,2.59,1773.45,1764.49,0.51,309.4,283.5,25.9
random,mixed,512,8,69.06,62.91,-6.15,1773.45,1734.24,2.21,309.4,370.9,-61.5
adaptive_lf20_iv500k,mixed,512,8,69.06,79.05,9.99,1773.45,1755.08,1.04,309.4,209.5,99.9
fifo,stride,512,8,56.91,59.18,2.27,2127.98,2079.42,2.28,430.9,408.2,22.7
random,stride,512,8,56.91,53.26,-3.65,2127.98,2081.65,2.18,430.9,467.4,-36.5
adaptive_lf20_iv500k,stride,512,8,56.91,65.19,8.28,2127.98,2088.96,1.83,430.9,348.1,82.8
fifo,loop,512,16,95.46,85.78,-9.68,857.43,852.1,0.62,45.4,142.2,-96.8
random,loop,512,16,95.46,81.82,-13.64,857.43,871.94,-1.69,45.4,181.8,-136.4
adaptive_lf20_iv500k,loop,512,16,95.46,92.92,-2.54,857.43,840.4,1.99,45.4,70.8,-25.4
fifo,stream,512,16,44.93,44.48,-0.45,3178.22,3225.32,-1.48,550.7,555.2,-4.5
random,stream,512,16,44.93,44.16,-0.77,3178.22,3215.52,-1.17,550.7,558.4,-7.7
adaptive_lf20_iv500k,stream,512,16,44.93,45.13,0.2,3178.22,3234.54,-1.77,550.7,548.7,2.0
fifo,mixed,512,16,73.42,74.13,0.71,1743.52,1773.4,-1.71,265.8,258.7,7.1
random,mixed,512,16,73.42,65.81,-7.61,1743.52,1758.7,-0.87,265.8,341.9,-76.1
adaptive_lf20_iv500k,mixed,512,16,73.42,82.24,8.82,1743.52,1736.14,0.42,265.8,177.6,88.2
fifo,stride,512,16,59.77,62.03,2.26,2124.47,2072.25,2.46,402.3,379.7,22.6
random,stride,512,16,59.77,55.95,-3.82,2124.47,2102.04,1.06,402.3,440.5,-38.2
adaptive_lf20_iv500k,stride,512,16,59.77,68.05,8.28,2124.47,2091.04,1.57,402.3,319.5,82.8
fifo,loop,512,32,98.4,93.07,-5.33,852.17,856.08,-0.46,16.0,69.3,-53.3
random,loop,512,32,98.4,86.18,-12.22,852.17,865.62,-1.58,16.0,138.2,-122.2
adaptive_lf20_iv500k,loop,512,32,98.4,98.11,-0.29,852.17,857.33,-0.61,16.0,18.9,-2.9
fifo,stream,512,32,48.81,50.04,1.23,3200.76,3235.05,-1.07,511.9,499.6,12.3
random,stream,512,32,48.81,49.55,0.74,3200.76,3194.22,0.2,511.9,504.5,7.4
adaptive_lf20_iv500k,stream,512,32,48.81,49.46,0.65,3200.76,3218.52,-0.55,511.9,505.4,6.5
fifo,mixed,512,32,76.13,79.21,3.08,1729.32,1770.89,-2.4,238.7,207.9,30.8
random,mixed,512,32,76.13,71.35,-4.78,1729.32,1769.99,-2.35,238.7,286.5,-47.8
adaptive_lf20_iv500k,mixed,512,32,76.13,86.76,10.63,1729.32,1730.16,-0.05,238.7,132.4,106.3
fifo,stride,512,32,63.2,66.18,2.98,2126.72,2095.39,1.47,368.0,338.2,29.8
random,stride,512,32,63.2,59.76,-3.44,2126.72,2088.56,1.79,368.0,402.4,-34.4
adaptive_lf20_iv500k,stride,512,32,63.2,72.3,9.1,2126.72,2087.21,1.86,368.0,277.0,91.0
